MovieId,CrewId,Name,Role
57158,3506,Carolynne Cunningham,Producer
57158,108,Peter Jackson,Producer
57158,126,Fran Walsh,Producer
57158,53393,Zane Weiner,Producer
10195,11181,Kenneth Branagh,Director
10195,10850,Kevin Feige,Producer
131631,10943,Francis Lawrence,Director
1930,87742,Marc Webb,Director
1930,7627,Laura Ziskin,Producer
1930,7626,Avi Arad,Producer
1930,977941,Matt Tolmach,Producer
68726,10828,Guillermo del Toro,Producer
68726,61091,Jon Jashni,Producer
68726,114408,Mary Parent,Producer
68726,54211,Thomas Tull,Producer
68726,10828,Guillermo del Toro,Director
205601,1193597,Amma Asante,Director
205601,55480,Damian Jones,Producer
80518,589611,Kazuya Murata,Director
227929,1029539,Roberto Berliner,Director
254473,928490,Camille Delamarre,Director
254473,59,Luc Besson,Producer
254473,1039357,Claude Léger,Producer
254473,72903,Jonathan Vanger,Producer
205724,1204338,Rob Meltzer,Director
138843,2127,James Wan,Director
138843,18330,Rob Cowan,Producer
138843,1079169,Tony DeRosa-Grund,Producer
138843,52259,Peter Safran,Producer
1267,16842,Stephen J. Anderson,Director
1267,16844,Dorothy McKim,Producer
209249,81256,Joel Hopkins,Director
209249,958156,Jean-Charles Levy,Producer
209249,1105728,Clément Miserez,Producer
209249,25501,Tim Perell,Producer
209249,81259,Nicola Usborne,Producer
152760,1461,George Clooney,Director
152760,1461,George Clooney,Producer
152760,31511,Grant Heslov,Producer
15071,15361,Josef Rusnak,Director
76649,4014,Paul W.S. Anderson,Director
76649,4014,Paul W.S. Anderson,Producer
76649,4016,Jeremy Bolt,Producer
76649,8303,Don Carmody,Producer
76649,4017,Robert Kulzer,Producer
76649,17080,Martin Moszkowicz,Producer
240832,59,Luc Besson,Director
240832,50950,Virginie Silla,Producer
70706,100388,Naomi Foner Gyllenhaal,Director
70706,869,Gale Anne Hurd,Producer
70706,13017,Hawk Koch,Producer
285733,1350796,Karen J. Lloyd,Director
268508,568312,Ray Haboush,Producer
268508,1174236,Patrick McManus,Director
9056,46323,Raymond Chow,Producer
9056,44932,Leonard Horn,Producer
9056,18897,Jackie Chan,Director
116741,17825,Shawn Levy,Director
116741,4937,Vince Vaughn,Producer
116741,17825,Shawn Levy,Producer
137094,11181,Kenneth Branagh,Director
137094,24309,Mark Vahradian,Producer
137094,65614,David Barron,Producer
137094,10952,Lorenzo di Bonaventura,Producer
137094,1106750,Alexander Dostal,Producer
137094,4611,Mace Neufeld,Producer
137094,1106752,David Ready,Producer
82703,18898,Rob Minkoff,Director
209244,1187819,Matthew Weiner,Director
209244,1222223,Matthew Weiner,Producer
209244,1313359,Jordan Horowitz,Producer
209244,1222229,Scott Hornbacher,Producer
209244,5371,Gary Gilbert,Producer
82992,58189,Justin Lin,Director
82992,12835,Vin Diesel,Producer
82992,11874,Neal H. Moritz,Producer
82992,3184,Clayton Townsend,Producer
212231,57082,John Stockwell,Director
188207,16938,Renny Harlin,Director
188207,16830,Boaz Davidson,Producer
188207,16938,Renny Harlin,Producer
188207,17208,Danny Lerner,Producer
188207,17207,Les Weldon,Producer
106646,1032,Martin Scorsese,Director
106646,1027545,Riza Aziz,Producer
106646,6193,Leonardo DiCaprio,Producer
106646,45648,Emma Tillinger Koskoff,Producer
106646,1027550,Joey McFarland,Producer
106646,1032,Martin Scorsese,Producer
214030,1241,John Turturro,Director
24428,12891,Joss Whedon,Director
24428,10850,Kevin Feige,Producer
